rank,id,image_path,mask_path,subcategory,img_width,img_height,fence_pixel_count,fence_coverage_pct,review_source,in_splits
1,053e59c9-0074-40a3-a9e6-57374f127b45,data_scraped/images/pixabay__cedar_fence_residential_backyard__2f3ab9ee.jpg,dataset/annotations_v1/masks/053e59c9-0074-40a3-a9e6-57374f127b45.png,style_cedar,1280,854,1,0.000091,auto_accept_positive,train
2,107241d1-ac53-4624-8ca5-0256dae2dfab,data_scraped/images/pixabay__wooden_privacy_fence_backyard__b936b3b4.jpg,dataset/annotations_v1/masks/107241d1-ac53-4624-8ca5-0256dae2dfab.png,style_wood,1280,719,1,0.000109,auto_accept_positive,train
3,62bab5f5-bb40-41db-aaf5-df7ee79f3462,data_scraped/images/pw_houzz__cedar_fence_at_night_porch_light_warm_gl__13cee437.jpg,dataset/annotations_v1/masks/62bab5f5-bb40-41db-aaf5-df7ee79f3462.png,lighting,1600,1600,1,0.000039,auto_accept_positive,train+train_hq
4,cdd19343-df15-4e11-86fe-1bfc5d7e05f1,data_scraped/images/unsplash__old_cedar_fence_backyard_weathered__e94f80c1.jpg,dataset/annotations_v1/masks/cdd19343-df15-4e11-86fe-1bfc5d7e05f1.png,style_cedar,1080,720,1,0.000129,auto_accept_positive,train
5,3fe015aa-01ce-4069-bde4-f155f5c84094,data_scraped/images/unsplash__cedar_fence__f3287099.jpg,dataset/annotations_v1/masks/3fe015aa-01ce-4069-bde4-f155f5c84094.png,style_cedar,1080,720,2,0.000257,auto_accept_positive,train
6,c5a55a21-c90f-45e9-aecb-9959037bc209,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__611aa0ea.jpg,dataset/annotations_v1/masks/c5a55a21-c90f-45e9-aecb-9959037bc209.png,scale_extreme,1080,720,2,0.000257,auto_accept_positive,train
7,ee277935-2f98-4962-a13e-612861fe5bda,data_scraped/images/pixabay__wooden_privacy_fence_backyard__d63f7b2b.jpg,dataset/annotations_v1/masks/ee277935-2f98-4962-a13e-612861fe5bda.png,style_wood,1280,850,2,0.000184,auto_accept_positive,train
8,03668b19-0fab-4242-add8-b3019fccfacf,data_scraped/images/pw_pinterest__wooden_dog-ear_fence__cad90dd4.jpg,dataset/annotations_v1/masks/03668b19-0fab-4242-add8-b3019fccfacf.png,style_wood,1000,1000,3,0.000300,auto_accept_positive,train
9,2570e5f8-6c45-421d-8578-2784c56bf674,data_scraped/images/unsplash__cedar_fence__e5b9e176.jpg,dataset/annotations_v1/masks/2570e5f8-6c45-421d-8578-2784c56bf674.png,style_cedar,1080,737,3,0.000377,auto_accept_positive,train
10,e888223f-1ba6-4a15-ab00-c4c322865dfa,data_scraped/images/wikimedia__stockade_fence__655b265e.jpg,dataset/annotations_v1/masks/e888223f-1ba6-4a15-ab00-c4c322865dfa.png,fence_general,960,1342,3,0.000233,auto_accept_positive,train
11,259a8c34-5357-4005-95df-a315380f1955,data_scraped/images/pw_houzz__cedar_fence_dappled_sunlight_through_tre__4385e901.jpg,dataset/annotations_v1/masks/259a8c34-5357-4005-95df-a315380f1955.png,lighting,1600,1600,4,0.000156,auto_accept_positive,train+train_hq
